inchhpc_std;age_std;educ_std;white;male;ideo_std;ptyid7;ptyid;treat;cue;cueg;y;popmin;popmul;popadd
1.5145960013153947;0.38131121177635957;0.8525931113872508;1;1;0.9257027675798697;1;Independent;Trump (Populist Message);Populist Message;Trump;1;-2.755952873006143;0.11486940515233843;-2.9403252842102936
-0.7568803047519622;0.08595853072442845;-0.4576756558434255;0;1;-0.07448914979838016;0;Independent;Biden (Populist Message);Populist Message;Biden;0;1.4192648802523142;0.8310645173413764;5.867009236663332
0.649259504138282;1.8580746170360152;0.8525931113872508;1;1;-0.40788645559113007;-2;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-2.815232774595902;0.06686764381349572;-4.092796472821554
-0.6487117102572637;-0.8000995124313649;0.8525931113872508;1;1;0.5923054617871196;-3;Democrat;Trump (Anti-populist Message);Anti-populist Message;Trump;0;-2.7779448273816154;0.06854462374070669;-4.670485861622734
-0.6487290167708758;-1.0954521934832961;0.8525931113872508;0;1;-1.0746810671766298;-3;Democrat;Control (Populist Message);Populist Message;Control;0;-1.182610450008057;0.15145483661984097;-1.1220160620609234
-0.9596865042394316;-1.4498754107456135;0.19745872777191265;1;0;0.2589081559943698;-3;Democrat;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-1.9389385181320922;0.18783789074649726;-1.515744350465734
-0.10788315987844783;-1.0954521934832961;0.19745872777191265;0;1;0.9257027675798697;-2;Democrat;Control (Populist Message);Populist Message;Control;1;-1.0779402545070973;0.22506032465266607;-0.7503795354574732
-0.7298370744711867;-1.4498754107456135;-1.1128100394587637;1;1;-0.40788645559113007;0;Independent;Control (Anti-populist Message);Anti-populist Message;Control;0;-0.9198070389619076;0.3083301970510214;0.5256273994727318
-0.24309137913025258;-1.0954521934832961;0.8525931113872508;1;1;-0.07448914979838016;-3;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;-2.187369598860317;0.1285189907627234;-2.4747285557769647
;-0.2093941503275027;0.8525931113872508;0;0;1.5924973791653694;0;Independent;Biden (Anti-populist Message);Anti-populist Message;Biden;1;-2.7625357425953525;0.0;-0.9996800314369407
-0.7388490808823325;-0.8000995124313649;-0.4576756558434255;1;0;0.9257027675798697;2;Republican;Biden (Populist Message);Populist Message;Biden;0;-1.2200424124016953;0.13834947126854594;-1.1890896530001436
-0.4323802901057373;-0.2093941503275027;0.8525931113872508;1;0;-0.07448914979838016;-3;Democrat;Trump (Populist Message);Populist Message;Trump;0;-2.013555554839685;0.09935561248575038;-2.6777346672251086
-0.540552490124105;-0.2093941503275027;-1.1128100394587637;1;0;0.9257027675798697;3;Republican;Trump (Populist Message);Populist Message;Trump;1;0.015251032514404213;0.3605680063883014;1.596346796279723
-0.97320451385615;0.08595853072442845;-1.1128100394587637;0;1;-1.7414756787621297;-3;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-0.26498405517991785;0.5343938909100764;3.5394781324833913
-0.929942556454248;-0.2093941503275027;-1.1128100394587637;1;1;0.5923054617871196;2;Republican;Biden (Populist Message);Populist Message;Biden;1;-1.742116773912212;0.14688030198559773;0.9845849165901848
0.7033531757471712;-1.0954521934832961;-1.1128100394587637;1;0;-0.7412837613838799;-1;Independent;Control (Populist Message);Populist Message;Control;0;-2.0772579406881246;0.07732435114197404;-3.7168101626407997
-0.9011012515196464;-1.4498754107456135;0.19745872777191265;1;0;-0.7412837613838799;-1;Independent;Control (Populist Message);Populist Message;Control;0;0.18906507653503576;0.3558603814154179;1.4526268988662303
-0.28816222775698846;0.38131121177635957;0.19745872777191265;1;1;-0.40788645559113007;-2;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;-0.2587477382467313;0.2851870953891795;0.5128044030824483
-0.8217768463784848;-1.4498754107456135;-0.4576756558434255;0;0;-0.07448914979838016;1;Independent;Control (Anti-populist Message);Anti-populist Message;Control;0;-1.0999322088825694;0.2691215541922729;0.260906528883056
-0.6487117102572637;-0.2093941503275027;-0.4576756558434255;1;0;;3;Republican;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-0.7285613182931033;0.1398085672619428;-1.8574533615314646
-0.9732099221416539;-0.2093941503275027;-1.1128100394587637;1;0;-0.40788645559113007;-3;Democrat;Control (Populist Message);Populist Message;Control;1;-1.2200424124016953;0.09881577428014936;-2.7394844308352444
0.16252462536835544;-1.4498754107456135;0.19745872777191265;1;0;-0.7412837613838799;-2;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;-1.7311625477858361;0.16716007366463448;1.7707365316341113
-0.5766041212923569;0.08595853072442845;1.507727495002589;0;0;0.5923054617871196;-3;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-2.187369598860317;0.10956888056271515;-1.8183741935202942
-0.28816222775698846;-0.5047468313794338;-1.1128100394587637;1;0;-0.07448914979838016;-2;Democrat;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-1.7302518967432656;0.12275430012680941;0.03260381441514615
-0.8830700276500166;1.267369254932153;-0.4576756558434255;1;0;0.9257027675798697;-3;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-0.4195098095509797;0.2189149720721602;-0.22117801357371994
-0.28816222775698846;-0.8000995124313649;-0.4576756558434255;1;0;0.5923054617871196;1;Independent;Biden (Anti-populist Message);Anti-populist Message;Biden;0;1.4192648802523142;0.7498524059999572;5.365932676362997
-0.24309137913025258;-1.4498754107456135;0.8525931113872508;1;0;-1.4080783729693798;-2;Democrat;Trump (Populist Message);Populist Message;Trump;0;0.4199471940712865;0.6862400532886062;4.605736445222044
;0.38131121177635957;0.8525931113872508;1;0;0.2589081559943698;2;Republican;Biden (Populist Message);Populist Message;Biden;1;-0.4190591151782363;0.3602483337189703;1.4428561828877242
-0.97320451385615;-1.4498754107456135;0.19745872777191265;1;0;-0.7412837613838799;-2;Democrat;Control (Populist Message);Populist Message;Control;1;-0.1996234437185547;0.27557323511264764;0.8248613793035817
-0.5135056543196604;0.6766638928282908;-1.1128100394587637;1;0;-0.40788645559113007;-3;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-0.4195098095509797;0.2635368330092642;0.3119340761858928
-0.7568803047519622;-0.2093941503275027;-1.1128100394587637;1;0;-0.07448914979838016;0;Independent;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.7311625477858361;0.07546531575763245;-2.175381211245912
-0.9268508714153967;-0.5047468313794338;0.8525931113872508;1;0;0.9257027675798697;3;Republican;Biden (Populist Message);Populist Message;Biden;1;-1.2319072895706418;0.2203204529783966;1.494794400931755
1.5145851847443872;-0.5047468313794338;0.8525931113872508;1;0;-0.7412837613838799;-3;Democrat;Control (Populist Message);Populist Message;Control;0;-1.0779402545070973;0.12644282570741155;-2.3810970361388337
-1.0164751245148582;-1.4498754107456135;-1.1128100394587637;0;0;0.2589081559943698;-3;Democrat;Biden (Populist Message);Populist Message;Biden;1;-0.6979680508911786;0.20161257846357955;-0.23225444942424295
-0.24309137913025258;0.6766638928282908;1.507727495002589;1;0;-0.07448914979838016;-2;Democrat;Trump (Populist Message);Populist Message;Trump;1;-2.2413720321274067;0.07884438530345263;0.8257662052271568
0.7033531757471712;0.6766638928282908;0.19745872777191265;1;0;0.2589081559943698;1;Independent;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-1.742116773912212;0.11957923461902917;-0.26358281917512216
0.649259504138282;-1.4498754107456135;-0.4576756558434255;1;1;-0.07448914979838016;0;Independent;Trump (Anti-populist Message);Anti-populist Message;Trump;0;-1.7911853360940726;0.09207408168416802;-3.758755052065293
-0.7388490808823325;1.267369254932153;-1.7679444230741017;1;0;;-2;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;0;-1.9367603567457767;0.059192913898018486;-3.644337808494015
0.10843095375946629;0.38131121177635957;0.8525931113872508;1;0;;3;Republican;Control (Populist Message);Populist Message;Control;1;-0.18775856654960835;0.32817428015054073;1.8162530642919552
2.5962422855020186;1.562721935984084;0.8525931113872508;1;0;-0.07448914979838016;-3;Democrat;Control (Populist Message);Populist Message;Control;0;-2.7959444849463324;0.015021568371757249;-5.605649280934383
-0.6487117102572637;-0.5047468313794338;-0.4576756558434255;1;1;-0.07448914979838016;0;Independent;Biden (Populist Message);Populist Message;Biden;0;-1.418376801359264;0.16249074893617124;-1.7756526055414754
0.7033531757471712;-1.0954521934832961;-0.4576756558434255;1;0;1.5924973791653694;3;Republican;Control (Populist Message);Populist Message;Control;1;1.3428698864751025;0.6653846646706455;4.8447689658950495
1.5145960013153947;-0.2093941503275027;1.507727495002589;1;0;-0.07448914979838016;0;Independent;Control (Populist Message);Populist Message;Control;1;0.10150260159459211;0.39899792996702155;1.9927497643939278
0.649259504138282;1.267369254932153;0.19745872777191265;1;0;-0.7412837613838799;-3;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;0;-1.2200424124016953;0.1608327542026446;-0.27059359494320634
-0.9011012515196464;0.6766638928282908;-1.1128100394587637;1;0;1.5924973791653694;3;Republican;Control (Anti-populist Message);Anti-populist Message;Control;1;0.311496691665586;0.46505578345921084;3.3786349290201496
-0.27013821493469714;1.562721935984084;0.19745872777191265;1;0;-0.07448914979838016;-2;Democrat;Control (Populist Message);Populist Message;Control;0;-2.2523262582537824;0.024125758060445313;-4.058325242341953
-0.540552490124105;-0.2093941503275027;-1.1128100394587637;1;0;1.5924973791653694;3;Republican;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-1.199044611191514;0.21966308783278074;1.4333327840976655
-0.7568803047519622;-0.8000995124313649;-1.1128100394587637;1;0;-0.07448914979838016;0;Independent;Biden (Populist Message);Populist Message;Biden;1;-2.7625357425953525;0.0;-2.5110472324768947
-1.0164751245148582;-1.4498754107456135;-1.7679444230741017;1;0;;3;Republican;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-1.742116773912212;0.11957923461902917;-0.26358281917512216
-0.5135056543196604;-1.0954521934832961;0.8525931113872508;1;0;0.5923054617871196;3;Republican;Control (Populist Message);Populist Message;Control;0;-1.7911853360940726;0.055932060872858916;-4.748049142331726
-0.5135056543196604;1.562721935984084;0.8525931113872508;1;0;-0.40788645559113007;2;Republican;Trump (Populist Message);Populist Message;Trump;0;-2.2523262582537824;0.03957141409726062;-2.336820085212122
0.10843095375946629;1.267369254932153;0.8525931113872508;1;0;-0.07448914979838016;0;Independent;Control (Populist Message);Populist Message;Control;1;-0.1886692175921788;0.3243801991458375;1.7053372895607253
